osm_id,osm_type,name,category,cuisine,lat,lon,address,suburb,website,opening_hours,rating,review_count,review_velocity_per_week,popularity_review,foot_monthly,foot_daily_avg,dwell_min,foot_source,popularity_foot,suburb_source,suburb_conf_km
34006896,node,Grandview Hotel,pub,,-37.7663373,144.9489113,47 Pearson Street,Brunswick West,,,4.5,571,,51.4,,,,,,nearest,0.015
34051906,node,Roy's on Melville,cafe,pizza,-37.7645062,144.9437038,Melville Road,Brunswick West,,,4.2,257,,46,,,,,,osm,0.0
98152953,node,Village Green Hotel,pub,,-37.9043603,145.1598716,,Glen Waverley,https://www.thevillagegreen.com.au/,,4,2468,,57.1,,,,,,nearest,0.348
106675499,node,McDonald's,fast_food,burger,-37.8747894,145.1671851,,Glen Waverley,https://www.mcdonalds.com.au/,,,,,,,,,,,nearest,0.532
106822993,node,McDonald's,fast_food,burger,-37.8862652,145.1451619,,Mount Waverley,https://www.mcdonalds.com.au/,,,,,,,,,,,nearest,0.529
143925865,node,McDonald's,fast_food,burger,-37.7887063,145.1615868,,Doncaster East,https://www.mcdonalds.com.au/,24-Jul,,,,,,,,,,nearest,0.691
178786887,node,Chelsea Heights Hotel,pub,,-38.0275623,145.1330796,1-23 Springvale Road,Aspendale Gardens,https://www.chelseaheightshotel.com.au/,Mo-Su 10:00-04:00,4.1,2808,,58.1,,,,,,nearest,0.168
194638984,node,Ricketts Point Cafe,cafe,,-37.9911474,145.0292746,,Beaumaris,,,4,1416,,54.1,,,,,,nearest,0.736
214964019,node,Doncaster Hotel,pub,,-37.7865652,145.1432382,855 Doncaster Road,Doncaster East,https://www.doncasterhotel.com.au/,,4.2,2189,,57.2,,,,,,nearest,0.462
219908896,node,Joe's Fish and Chips,fast_food,,-37.7655141,144.9434422,,Brunswick West,,,4.2,314,,47,,,,,,nearest,0.114
241367848,node,Railway Hotel,pub,,-37.7805923,144.9782522,800 Nicholson Street,Fitzroy North,http://railwayhotelfitzroynorth.com.au/,,,,,,,,,,,nearest,0.206
241367921,node,The Empress Hotel,pub,,-37.7828052,144.9778334,714 Nicholson Street,Fitzroy North,https://www.theempress.com.au/,,4.4,677,,51.9,,,,,,nearest,0.043
243151934,node,Tramway Hotel,pub,,-37.7884866,144.9790313,,Fitzroy North,,,4.5,491,,50.6,,,,,,nearest,0.215
243445262,node,Clifton Hill Brewpub,pub,,-37.7897383,144.9890945,89 Queens Parade,Clifton Hill,https://www.cliftonhillbrewpub.com.au/,,4.5,778,,53,,,,,,nearest,0.105
243645987,node,Royal Oak Hotel,pub,,-37.7895012,144.97665,,Fitzroy North,,,4.5,419,,49.8,,,,,,nearest,0.044
243794629,node,North Fitzroy Arms,pub,,-37.7852536,144.9799874,300-304 Rae Street,Fitzroy North,https://www.northfitzroyarms.com.au/,,4.3,457,,49.4,,,,,,osm,0.0
245806668,node,Books n Bites Cafe,cafe,sandwich;cake;coffee_shop,-37.8017523,144.9583162,222 Pelham Street,Carlton,,,4.5,126,,43.5,,,,,,nearest,0.054
247170132,node,The Factory Cafe,cafe,coffee_shop,-37.7651025,144.9475575,Victoria Street,Brunswick West,,,4.7,226,,47.3,,,,,,osm,0.0
247633178,node,Rubber Duck Cafe,cafe,,-37.789085,144.990631,139 Queens Parade,Clifton Hill,,,4.2,462,,49.1,,,,,,osm,0.0
248229930,node,Rochester Castle Hotel,pub,,-37.7988193,144.9816836,202 Johnston Street,Fitzroy,https://rochey.com.au/,,4.4,734,,52.3,,,,,,nearest,0.098
248969240,node,Commercial Club Hotel,pub,,-37.794516,144.975709,344 Nicholson Street,Carlton,https://www.commercialclubhotel.com.au/,Mo-Tu off; We-Fr 15:00-23:00; Sa 12:00-23:00; Su 12:00-21:00,4.6,191,,46,,,,,,nearest,0.131
249447239,node,Hungry Jack's,fast_food,burger,-37.8109618,145.2395067,5 Mount Dandenong Road,Ringwood East,https://www.hungryjacks.com.au/,Su-Th 06:00-23:00; Fr-Sa 06:00-01:00,3.5,818,,49.3,,,,,,osm,0.0
256993102,node,Prince Alfred Rooftop & Bar,pub,burger;italian;chicken;american;fish;salad;dessert,-37.8004316,144.9622254,191 Grattan Street,Carlton,https://www.princealfredhotelcarlton.com,"Tu-Fr 12:00-21:00,Sa 15:00-24:00",4.2,536,,49.8,,,,,,osm,0.0
258289357,node,McDonald's,fast_food,burger,-37.9079134,145.075297,,Oakleigh,https://www.mcdonalds.com.au/,,,,,,,,,,,nearest,1.109
258968886,node,Hungry Jack's,fast_food,burger,-37.8491993,145.1094014,171 Burwood Highway,Burwood,https://www.hungryjacks.com.au/,,3.6,2428,,55.4,,,,,,nearest,0.61
259141406,node,McDonald's,fast_food,burger,-37.9618502,145.1511667,,Springvale South,https://www.mcdonalds.com.au/,,,,,,,,,,,nearest,0.738
261346373,node,Sofia,restaurant,,-37.8534257,145.1605621,,Burwood East,https://sofiaburwood.com.au/,,,,,,,,,,,nearest,0.81
261399852,node,Carl's Jr.,fast_food,burger,-38.0787856,145.2402908,,Lynbrook,https://www.carlsjr.com.au,,,,,,,,,,,nearest,3.381
261560429,node,McDonald's,fast_food,burger,-37.8509208,145.0977266,52 Burwood Highway,Camberwell,https://www.mcdonalds.com.au/,,,,,,,,,,,nearest,0.368
264605657,node,Monash Hotel,pub,,-37.9198997,145.1375449,,Clayton,https://www.monashhotel.com.au/,,4.2,625,,50.7,,,,,,nearest,0.428
266155502,node,Burrinja,cafe,,-37.91651,145.3345789,18 Matson Drive,Upwey,https://www.burrinja.org.au/,,4.7,223,,47.2,,,,,,osm,0.0
266740556,node,Richmond Club Hotel,pub,,-37.8252755,144.9933114,100 Swan Street,Richmond,https://richmondclubhotel.com.au/,,4.2,1700,,55.9,,,,,,nearest,0.033
266740661,node,Richmond Social,pub,,-37.8254096,144.9966034,157 Swan Street,Richmond,https://www.richmondsocial.com.au/,Mo-Su 07:00-27:00,4,903,,51.8,,,,,,osm,0.0
267464189,node,Subway,fast_food,sandwich,-37.8483105,145.2273986,680 Boronia Road,Wantirna,https://www.subway.com.au/,,,,,,,,,,,nearest,0.19
268177215,node,Red Rooster,fast_food,chicken,-37.7780646,144.8342016,,Sunshine,https://www.redrooster.com.au/,,3.2,557,,46,,,,,,nearest,0.718
270652136,node,T House at Jells,cafe,,-37.8967535,145.1964982,34-70 Jells Road,Scoresby,https://www.thouseatjells.com/,Mo-Fr 08:00-15:00; Sa-Su 07:00-16:00,3.7,1113,,51.7,,,,,,nearest,1.904
279248794,node,The Royal,pub,,-38.2185087,145.0335739,770 Esplanade,Mornington,,,,,,,,,,,,nearest,0.38
279249060,node,Dava Hotel,pub,,-38.2448545,145.0305022,,Mornington,,,3.9,1185,,52.8,,,,,,nearest,1.727
280435190,node,Taipan Restaurant,restaurant,chinese,-37.7826613,145.1628389,239 Blackburn Road,Doncaster East,http://www.taipanrestaurant.com.au/,,3.7,129,,40.4,,,,,,nearest,0.062
281363834,node,Lincolnshire Arms Hotel,pub,,-37.7446972,144.9097915,,Essendon,,,3.9,643,,49.6,,,,,,nearest,2.12
282599745,node,KFC,fast_food,chicken,-37.7870639,145.1419735,,Doncaster East,,,,,,,,,,,,nearest,0.554
282825869,node,Metropolitan Hotel,pub,,-37.8018507,144.9540828,,North Melbourne,,,,,,,,,,,,nearest,0.139
282825871,node,Courthouse Hotel,pub,,-37.8028781,144.9498837,86-90 Errol Street,North Melbourne,https://thecourthousenm.com.au/,,4.4,610,,51.3,,,,,,osm,0.0
290901143,node,Fountain Gate Hotel,pub,,-38.0186109,145.3027829,,Narre Warren,,,4,938,,52,,,,,,nearest,0.31
291549259,node,Post Office Hotel,pub,,-37.748735,144.965117,229-231 Sydney Road,Coburg,,Tu 15:00-23:00; We-Sa 12:00-23:00+; Su 12:00-21:00,4.2,1238,,54.2,,,,,,osm,0.0
291725285,node,Drums Hotel,pub,,-37.737501,144.9665336,,Coburg,,,4.1,643,,50.4,,,,,,nearest,0.174
298316236,node,McDonald's,fast_food,burger,-37.8054287,144.8093151,,Sunshine West,https://www.mcdonalds.com.au/,,,,,,,,,,,nearest,1.779
299026704,node,Boulevard Restaurant,restaurant,,-37.804543,145.0107596,,Abbotsford,,,,,,,,,,,,nearest,0.471
301497066,node,Water Rat Hotel,pub,,-37.8347704,144.9639303,256-258 Moray Street,South Melbourne,http://www.thewaterrathotel.com.au/,,4.2,299,,46.8,,,,,,nearest,0.144
301707220,node,Labor in Vain Hotel,pub,,-37.8014415,144.9776725,197 Brunswick Street,Fitzroy,,,4.4,520,,50.5,,,,,,osm,0.0
302753335,node,Prince of Wales Hotel,pub,,-37.8621338,144.9740773,2 Acland Street,St Kilda,https://theprince.com.au/,,4.3,749,,52,,,,,,nearest,0.413
302753749,node,Esplanade Hotel,pub,,-37.8640582,144.973013,11 The Esplanade,St Kilda,www.espy.com.au,,4.3,4415,,61.3,,,,,,nearest,0.189
302796529,node,No. 87,cafe,,-37.717866,144.9227746,,Pascoe Vale,,,4.8,96,,43.2,,,,,,nearest,1.059
302977766,node,Dick Whittington Tavern,pub,,-37.8645932,144.9912195,,St Kilda,,,4.1,651,,50.5,,,,,,nearest,0.455
303258263,node,First and Last Hotel,pub,,-37.7189743,144.9626338,,Coburg North,,,4.2,1376,,54.8,,,,,,nearest,0.276
303893799,node,Berwick Inn Hotel,pub,,-38.0307055,145.344631,1 High Street,Berwick,https://www.berwickinn.com.au/,Mo-Su 10:00-28:00,4,1808,,55.4,,,,,,osm,0.0
303907008,node,The Evelyn Hotel,pub,,-37.7966246,144.9785553,,Fitzroy,,,4.4,758,,52.5,,,,,,nearest,0.024
304150840,node,The Windsor Alehouse,pub,,-37.8549278,144.9837274,42 Punt Road,Windsor,,,4.5,879,,53.6,,,,,,nearest,0.146
305098129,node,Maori Chief Hotel,pub,,-37.8299014,144.9621407,117 Moray Street,South Melbourne,https://maorichief.com.au/,,4.4,230,,46.2,,,,,,nearest,0.057
305317756,node,A Minor Place,cafe,,-37.7614923,144.9696521,103 Albion Street,Brunswick,,Mo-Fr 08:00-14:30; Sa-Su 08:00-15:00,4.4,706,,52.1,,,,,,nearest,0.56
308435480,node,Bedi's Indian Restaurant,restaurant,indian,-37.833506,144.966913,118 Park Street,South Melbourne,,,4.1,424,,48.2,,,,,,osm,0.0
310943260,node,McDonald's,fast_food,burger,-37.741462,145.027743,19 Murray Road,Preston,https://www.mcdonalds.com.au/,24-Jul,3,741,,46.7,,,,,,osm,0.0
